id-corrida,City / Country, qtd_Br
55693,SANTA COLOMA DE FARNERS,1
56173,Spain,3
56175,Spain,3
56177,Spain,1
56289,Portugal,1
56291,Portugal,1
56555,Australia,1
56969,Portugal,3
57219,Spain,1
57431,Portugal,1
57617,Sweden,1
57621,Sweden,2
57651,Australia,3
57659,Argentina,2
57673,Argentina,1
57711,Arco,1
57781,Klaipeda (Hotel Smiltynes Jachtklubas),1
57875,Portugal,1
57903,Spain,1
58257,Argentina,9
58259,Argentina,3
58261,Argentina,6
58605,Norway,1
58723,Colombia,1
58877,United States,1
58997,Argentina,153
59247,Portugal,1
59381,Besan�on,1
59383,Besan�on,1
59425,Centuri,1
59437,United States,1
59443,"Dalton, Georga",1
59455,Ireland,1
59799,United States,1
60075,Portugal,2
60077,Portugal,2
60161,Dalton,1
60223,Penhas da Sa�de,1
60227,Portugal,1
60319,Portugal,1
60321,Portugal,1
62425,United Kingdom,1
63135,Les Houches,1
63703,Swakopmund,2
64139,Escuredo,1
64187,Les,1
64189,Beret,2
64257,Switzerland,2
64425,San Martin de Casta�eda,1
64439,San Martin de Casta�eda,1
64445,Courchevel le praz,1
64761,L'Abbaye,1
65031,Old Deer Park - Richmond,1
65153,High1 resort,1
65307,France,1
65309,France,1
65523,Pico dos Barcelos (Funchal),2
65627,Porto Moniz,5
65823,Blairsville,1
65935,Las Palmas de Gran Canaria,1
65939,Gara��n.,1
66071,Corfe Castle,1
66107,"Hatch, Utah",2
66329,Tilcara,1
66472,Macugnaga - Pecetto,1
66847,Grindelwald,1
66854,"KCC Oval, Katoomba",2
66855,"Scenic World, Katoomba",1
67077,France,1
67173,Liddes,1
67234,Colmars-les-Alpes,1
67253,Les Diablerets,1
67323,Montreux,1
67326,Bex,1
67327,Omegna,1
67340,Salzburg,1
67342,Austria,1
67422,London,1
67429,Austria,1
67518,The Gap,1
67548,Val d'Is�re,1
67587,Ansi�es,1
67588,Portugal,2
67601,Morgins,1
67602,Grande Dixence,1
67604,Finhaut,2
67967,L'Etivaz,1
68044,Terrebonne,2
68131,Saarbr�cken,1
68187,Nida (Parnidis dune),1
68234,Office de Tourisme Morzine,1
68306,MESONGHI,1
68309,Charmey,1
68387,Brisbane,1
68402,Portugal,1
68403,"Camacha, Porto Santo",1
68424,Innsbruck,1
68595,"Norton, Virginia",1
68611,San Mart�n De Los Andes,2
68612,San Mart�n De Los Andes,2
68616,Sagres,1
68689,Suhl,1
68691,Beaupre,1
68700,Le Mouret,1
68951,Sion,1
68996,Molveno,1
69104,"Explorers Tree, Katoomba",1
69147,Arco,1
69181,Saint NABORD,1
69219,"Cuyahoga Falls, OH",1
69261,Canet d'Adri,1
69270,Portugal,1
69387,"Entre-ambos-os-rios, Ponte da Barca",1
69389,Montaria,2
69390,Dem (Caminha),2
69392,Pit�es das J�nias,1
69395,Melga�o,2
69463,Fontainebleau,1
69632,Canada,1
69634,Parc national des Hautes-Gorges,1
69636,Zec du Lac-au-Sable,1
69833,Spain,1
69925,Hartland,1
69961,France,1
69962,France,1
70032,Australia,1
70033,Mapleton,1
70146,VALDILANA,1
70156,Barcola,1
70166,Tarvisio,1
70320,Walyunga National Park,1
70497,Monterreal Coahuila,5
70808,Omegna,1
70927,V�l�dalen,1
70929,Trillevallen,1
71020,Dion,1
71179,Saint-Etienne,1
71180,Sainte-Catherine,2
71182,Chaponost,1
71183,Lyon,1
71254,Ba�os de Montemayor,1
71456,Aiguines,1
71572,Cloudland Canyon State Park,1
71663,Salir,1
71664,Salir,1
71755,Portugal,1
71818,Courmayeur,1
71819,Chamonix,2
71820,Orsi�res,1
71821,Courmayeur,5
71822,Martigny-Combe,8
71833,allauch,1
71887,Villa La Angostura,82
71917,Abrantes,2
72014,Farnham,1
72064,Sever do Vouga,1
72094,Val di Zoldo,1
72095,Val di Zoldo,1
72127,Hebden Bridge,1
72142,Wembury,1
