corridas.id-corrida,corridas.Corrida,corridas.uri,corridas.Title,corridas.City / Country,corridas.Day,corridas.Month,corridas.Year,corridas.Race Category,corridas.Distance,corridas.Elevation Gain
66973,ATT NOVA PETR�POLIS,23519.attnovapetropolistrajetomedio.2021,ATT NOVA PETR�POLIS 2021 - Trajeto M�dio,Brazil,11,September,2021,20K,20.4,900
66974,ATT NOVA PETR�POLIS,23521.attnovapetropolistrajetocurto.2021,ATT NOVA PETR�POLIS 2021 - Trajeto Curto,Brazil,11,September,2021,,,
66975,ATT NOVA PETR�POLIS,23523.attnovapetropolisultramaratona.2021,ATT NOVA PETR�POLIS 2021 - Ultramaratona,Brazil,11,September,2021,50K,47,1786
67145,Indomit Pedra do Ba�,3520.indomitpedradobau50km.2021,Indomit Pedra do Ba� 2021 - 50 km,Brazil,12,June,2021,50K,48.4,2990
68856,Ultra Desafio Passa Quatro - MG,4485.ultradesafiopassaquatro-mgud80km.2021,Ultra Desafio Passa Quatro - MG 2021 - UD 80 Km,Brazil,6,February,2021,100K,78.1,2460
68857,Ultra Desafio Passa Quatro - MG,4250.ultradesafiopassaquatro-mgud120km.2021,Ultra Desafio Passa Quatro - MG 2021 - UD 120 Km,Brazil,6,February,2021,100K,117.1,3090
68858,Ultra Desafio Passa Quatro - MG,16329.ultradesafiopassaquatro-mgud35km.2021,Ultra Desafio Passa Quatro - MG 2021 - UD 35 Km,Brazil,6,February,2021,50K,37,1320
68859,Ultra Desafio Passa Quatro - MG,16331.ultradesafiopassaquatro-mgud15km.2021,Ultra Desafio Passa Quatro - MG 2021 - UD 15 Km,Brazil,6,February,2021,20K,20.5,570
68860,Ultra Desafio Passa Quatro - MG,24329.ultradesafiopassaquatro-mgud55km.2021,Ultra Desafio Passa Quatro - MG 2021 - UD 55 Km,Brazil,6,February,2021,50K,58.7,1860
77734,Brazil 135+ Ultramarathon,7577.brazil135-ultramarathonmaratona3.2020,Brazil 135+ Ultramarathon 2020 - Maratona 3,Brazil,15,January,2020,100K,127.1,3460
77736,Brazil 135+ Ultramarathon,7377.brazil135-ultramarathon135miles.2020,Brazil 135+ Ultramarathon 2020 - 135 Miles,Brazil,15,January,2020,100M,209.3,6010
77738,Brazil 135+ Ultramarathon,7577.brazil135-ultramarathonmaratona3.2021,Brazil 135+ Ultramarathon 2021 - Maratona 3,Brazil,12,January,2021,100K,127.1,3460
77740,Brazil 135+ Ultramarathon,7377.brazil135-ultramarathon135miles.2021,Brazil 135+ Ultramarathon 2021 - 135 Miles,Brazil,12,January,2021,100M,209.3,6010
77742,Brazil 135+ Ultramarathon,7577.brazil135-ultramarathonmaratona3.2022,Brazil 135+ Ultramarathon 2022 - Maratona 3,Brazil,10,January,2022,100K,127.1,3460
77744,Brazil 135+ Ultramarathon,7377.brazil135-ultramarathon135miles.2022,Brazil 135+ Ultramarathon 2022 - 135 Miles,Brazil,10,January,2022,100M,209.3,6010
79602,3� STAGE INSANE,31077.3-stageinsaneinsane10k.2019,3� STAGE INSANE 2019 - INSANE 10K,Brazil,24,September,2019,,,
94566,Brazil 135+ Ultramarathon,7577.brazil135-ultramarathonmaratona3.2023,Brazil 135+ Ultramarathon 2023 - Maratona 3,Brazil,8,January,2023,100K,127.1,3460
94568,Brazil 135+ Ultramarathon,7377.brazil135-ultramarathon135miles.2023,Brazil 135+ Ultramarathon 2023 - 135 Miles,Brazil,8,January,2023,100M,209.3,6010
